"sample.id","iguana.id","unique.id","sample.type","species","site","sex","tourism.level","visited","year","date","month","repro_month","repro_score","svl","tail","mass","glucose","progesterone","testosterone","e2","corticosterone","bacterial.killing.ability","glycerol","true.triglycerides","droms","antioxidants.index"
"63","97C","97CALC","sample","inornata","ALC","M","high","visited",2016,"5/21/2016","may","early","M",30,"37","865",129,NA,"0.794",NA,11.96,11.46443515,53.92620624,86.29893238,1.608667389,290.5511811
"62","14E","14EALC","sample","inornata","ALC","F","high","visited",2016,"5/21/2016","may","early","RF",26,"33.5","635",117,0.475,"1.764",0.581,6.843,10.12552301,137.8902554,248.7621847,24.4212351,345.9649123
"33","117A","117AALC","sample","inornata","ALC","F","high","visited",2016,"5/19/2016","may","early","RF",27,"36.3","780",153,0.296,"1.78",0.393,11.313,56.10539846,335.5688028,452.4298989,32.33900482,343.2755299
"B1016","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B1025","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B1028","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B1031","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B111","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B112","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B1130A","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B1130E","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B113","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B122","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B125E","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B125H","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"B127","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"NTC1","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"NTC2","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"NTC3","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"NTC4","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
"STD","","","control","","","","","",NA,"","","","",NA,"","",NA,NA,"",NA,NA,NA,NA,NA,NA,NA
