"sample.id","iguana.id","unique.id","sample.type","species","site","sex","tourism.level","visited","year","date","month","repro_month","repro_score","svl","tail","mass","glucose","progesterone","testosterone","e2","corticosterone","bacterial.killing.ability","glycerol","true.triglycerides","droms","antioxidants.index"
"F100","20B","20BFRRC","sample","inornata","FRRC","F","no","non-visited",2016,"9/11/2016","september","post","Post",33.8,"46.1","1360",124,0.106,"0.656",0.261,14.577,0,8.571428571,22.52327128,4.681450342,297.4930362
"C99","23/9B","23/9BALC","sample","inornata","ALC","F","high","visited",2016,"9/3/2016","september","post","Post",29.4,"37.6","840",130,0.729,"0.547",0.419,5.728,6.299911269,42.85714286,40.97406915,1.444907975,307.2
"C97","61/6B","61/6BALC","sample","inornata","ALC","F","high","visited",2016,"9/3/2016","september","post","Post",27.5,"27.7","675",154,1.922,"0.527",0.67,19.749,10.7364685,25.71428571,41.92985372,0.800981595,299.2822967
"C96","11/9A","11/9AALC","sample","inornata","ALC","M","high","visited",2016,"9/3/2016","september","post","M",29.5,"38.9","975",133,NA,"0.981",NA,6.696,12.51109139,23.0952381,52.48503989,2.701349693,286.6141732
"C95","91/7A","91/7AALC","sample","inornata","ALC","M","high","visited",2016,"9/3/2016","september","post","M",29,"37.3","945",155,NA,"0.872",NA,3.383,8.074534161,17.38095238,51.27992021,2.811288344,296.8503937
"C94","82/7A","82/7AALC","sample","inornata","ALC","M","high","visited",2016,"9/3/2016","september","post","M",27.5,"35.6","700",126,NA,"0.709",NA,2.333,1.15350488,19.76190476,31.54089096,1.821840491,284.2519685
"C93","28D","28DALC","sample","inornata","ALC","M","high","visited",2016,"9/3/2016","september","post","M",23.8,"32.5","540",138,NA,"0.688",NA,3.374,13.75332742,42.38095238,49.61768617,1.71190184,289.7637795
"C92","1/0A","1/0AALC","sample","inornata","ALC","M","high","visited",2016,"9/3/2016","september","post","M",34.3,"42.1","1590",155,NA,"7.153",NA,5.614,20.85181899,70.71428571,36.69381649,2.544294479,289.7637795
"C91","32/7A","32/7AALC","sample","inornata","ALC","M","high","visited",2016,"9/3/2016","september","post","M",30.2,"38.1*","1125",130,NA,"2.03",NA,1.074,14.46317657,55.47619048,33.61868351,1.38208589,292.9133858
"C87","61/6B","61/6BALC","sample","inornata","ALC","F","high","visited",2016,"6/26/2016","june","late","NRF",28,"36.8","670",136,0.796,"0.207",0.433,9.574,11.2599681,30.64110622,67.90158694,5.389473684,300
"C86","62/0B","62/0BALC","sample","inornata","ALC","M","high","visited",2016,"6/26/2016","june","late","M",33,"40.4","1370",150,NA,"0.96",NA,8.558,10.36682616,33.65175858,96.29682585,6.70786644,295.8661417
"C85","54/6B","54/6BALC","sample","inornata","ALC","F","high","visited",2016,"6/26/2016","june","late","RF",29.6,"36.1","940",155,2.341,"0.177",0.456,17.34,14.51355662,NA,NA,NA,NA
"C83","82/9A","82/9AALC","sample","inornata","ALC","M","high","visited",2016,"6/26/2016","june","late","M",28.1,"36.9","800",171,NA,"0.08",NA,12.729,23.70015949,37.39002933,109.8629521,10.89485003,306.9223472
"C82","64/8B","64/8BALC","sample","inornata","ALC","F","high","visited",2016,"6/26/2016","june","late","RF",29.7,"38","1020",161,NA,"31.69",1.587,19.233,12.66101162,23.31378299,390.2493822,6.620939445,321.0714286
"C81","26F","26FALC","sample","inornata","ALC","F","high","visited",2016,"6/26/2016","june","late","NRF",30,"39.2","1040",144,1.361,"1.122",0.478,0.792,37.92020107,44.42815249,123.2869018,14.7196378,305
"C80","5/9A","5/9AALC","sample","inornata","ALC","M","high","visited",2016,"6/26/2016","june","late","M",23.5,"33.1","512",173,NA,"1.353",NA,5.513,12.15834119,21.5542522,60.49202426,4.89688738,311.4285714
"C79","90/10/2/7","90/10/2/7ALC","sample","inornata","ALC","M","high","visited",2016,"6/26/2016","june","late","M",27.7,"36","715",160,NA,"2.647",NA,1.62,14.67169337,13.3431085,74.36531117,5.838596491,309.2857143
"C78","94/6A","94/6AALC","sample","inornata","ALC","F","high","visited",2016,"6/26/2016","june","late","RF",26.7,"35.7","675",149,6.03,"",3.059,15.044,9.770656613,20.08797654,204.2799371,25.86078098,331.7857143
"C77","20/0D","20/0DALC","sample","inornata","ALC","F","high","visited",2016,"6/26/2016","june","late",NA,20.6,"28.8","345",151,1.05,"",1.117,5.862,7.697141062,22.4340176,61.78386879,4.578155065,344.6428571
"C76","25F","25FALC","sample","inornata","ALC","M","high","visited",2016,"6/26/2016","june","late","M",21.5,"29.7","368",160,NA,"0.687",NA,NA,3.675777568,43.25513196,94.97865648,3.766836446,335
"C75","5/0C","5/0CUC","sample","inornata","UC","M","moderate","visited",2016,"6/25/2016","june","late","M",26,"34.166","660",148,NA,"1.771",NA,13.265,12.22117499,53.7397863,52.83137344,6.22122905,299.4094488
"C74","39/0A","39/0AUC","sample","inornata","UC","F","moderate","visited",2016,"6/25/2016","june","late","NRF",31.8,"36.5","1405",142,0.761,"1.012",1.039,4.297,22.02324851,44.54745443,74.92293641,26.74413408,303.5433071
"C73","21D","21DUC","sample","inornata","UC","F","moderate","visited",2016,"6/25/2016","june","late","NRF",23.1,"32","485",154,0.974,"1.611",1.347,9.936,10.02199183,21.21307354,118.6351182,3.396648045,304.7244094
"C71","72/0A","72/0AUC","sample","inornata","UC","M","moderate","visited",2016,"6/25/2016","june","late","M",25.2,"32.4","550",150,NA,"0.182",NA,5.541,20.5152372,41.24764299,66.61719374,6.352327747,297.6377953
"C70","43/0A","43/0AUC","sample","inornata","UC","M","moderate","visited",2016,"6/25/2016","june","late","M",35,"","1770",156,NA,"0.079",NA,6.054,18.88155828,124.6857322,68.9291015,14.86182495,299.4094488
"C69","170C","170CUC","sample","inornata","UC","F","moderate","visited",2016,"6/25/2016","june","late","NRF",32.5,"","1045",169,1.18,"1.912",0.77,5.862,4.052780396,69.06033941,72.73946798,8.84320298,295.8661417
"C68","12/0B","12/0BUC","sample","inornata","UC","M","moderate","visited",2016,"6/25/2016","june","late","M",25.6,"34.9","710",140,NA,"3.344",NA,6.966,2.104932454,28.9912005,105.4914945,3.194040968,296.4566929
"C67","101B","101BUC","sample","inornata","UC","M","moderate","visited",2016,"6/25/2016","june","late","M",37.8,"","2255",132,NA,"0.182",NA,6.346,96.35563933,95.45883092,75.17981505,15.18361266,295.8661417
"C66","57B","57BUC","sample","inornata","UC","M","moderate","visited",2016,"6/25/2016","june","late","M",39,"46","2865",122,NA,"0.079",NA,0.845,63.99622997,177.0113136,69.22879324,14.25400372,299.4094488
"C65","2/0C","2/0CUC","sample","inornata","UC","M","moderate","visited",2016,"6/25/2016","june","late","M",27.7,"37.5","735",147,NA,"0.081",NA,7.515,6.377631166,NA,NA,3.129371817,306.8181818
"C64","9C","9CUC","sample","inornata","UC","F","moderate","visited",2016,"6/25/2016","june","late","NRF",35,"42.2","1410",141,0.777,"1.111",0.708,8.856,21.26924285,82.25958517,104.2499144,6.244255801,297.6377953
"C63","52/6A","52/6AALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",29.8,"38.2","870",169,1.506,"0.188",0.433,17.712,17.8133836,42.08211144,104.8640755,8.678211658,315.7142857
"C62","43/8C","43/8CALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",23.3,"31.6","455",179,1.018,"0.83",0.551,11.19,6.943135407,27.41935484,120.0292069,2.2745897,315.7142857
"C61","14/8A","14/8AALC","sample","inornata","ALC","M","high","visited",2016,"6/24/2016","june","late","M",33.3,"44.6","1520",150,NA,"6.352",NA,7.99,5.183788878,19.50146628,53.07796001,5.997962649,309.2857143
"C60","15/7C","15/7CALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",28,"38.2","815",159,0.544,"0.583",0.437,9.536,6.411483254,30.93841642,51.05594248,3.477079796,311.4285714
"C58","91/7A","91/7AALC","sample","inornata","ALC","M","high","visited",2016,"6/24/2016","june","late","M",29.6,"37.7","895",154,NA,"0.082",NA,9.326,36.35250918,41.7888563,97.78701415,11.14114318,317.8571429
"C56","75/0B","75/0BALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",30.1,"36.5","865",150,0.513,"0.218",0.64,9.885,11.87270502,8.944281525,111.7164682,4.462252405,290
"C55","10D","10DALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",24.5,"32.3","545",162,0.35,"0.403",0.359,14.208,16.34026928,23.02052786,54.03280162,5.940011319,316.7857143
"C46","78/0B","78/0BALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",26.9,"35.4","755",142,1.417,"0.728",1.158,14.053,11.26070991,32.69794721,29.48775556,3.795812111,314.6428571
"C45","35/9B","35/9BALC","sample","inornata","ALC","M","high","visited",2016,"6/24/2016","june","late","M",32,"43.2","1398",145,NA,"0.317",NA,5.513,25.33659731,30.05865103,62.96337902,12.90865874,306.0714286
"C44","94D","94DALC","sample","inornata","ALC","M","high","visited",2016,"6/24/2016","june","late","M",33.1,"40.4","205",144,NA,"0.307",NA,5.991,35.25091799,59.97067449,147.0456077,17.38539898,311.4285714
"C43","65/0B","65/0BALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",31.1,"39.1","955",145,0.091,"0.973",0.429,31.117,36.59730722,21.84750733,66.44574253,11.53231466,308.2142857
"C41","14/9A","14/9AALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","RF",25.4,"34.5","575",161,4.019,"0.599",0.619,18.758,25.58139535,10.11730205,53.52729724,4.43327674,302.8571429
"C40","11/9A","11/9AALC","sample","inornata","ALC","M","high","visited",2016,"6/24/2016","june","late","M",28.8,"39","915",134,NA,"0.072",NA,3.733,50.18359853,41.7888563,134.8573354,13.82139219,301.7857143
"C39","139C","139CALC","sample","inornata","ALC","M","high","visited",2016,"6/24/2016","june","late","M",32.7,"48.6","1215",161,NA,"0.74",NA,5.774,35.80171359,35.92375367,121.3772186,16.03803056,315.7142857
"C38","22/8B","22/8BALC","sample","inornata","ALC","M","high","visited",2016,"6/24/2016","june","late","M",28.4,"*","740",148,NA,"0.079",NA,1.933,32.43574051,56.15835777,12.91844529,6.794793435,323.2142857
"C37","90G","90GALC","sample","inornata","ALC","F","high","visited",2016,"6/24/2016","june","late","NRF",26.4,"32.9","655",123,1.12,"0.178",0.434,14.583,35.06731946,56.15835777,76.38732869,13.14046406,322.1428571
"C36","196","196NC","sample","figginsi","NC","M","no","non-visited",2016,"6/23/2016","june","late","M",36.4,"42.7","1875",151,NA,"0.079",NA,0.765,31.88142771,35.71428571,67.52557787,3.053677932,306.8181818
"C35","162","162NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late","NRF",27,"38.5","650",159,1.468,"0.585",0.948,23.049,15.36600121,17.53635586,21.48541114,0.903379722,311.3636364
"C34","142","142NC","sample","figginsi","NC","M","no","non-visited",2016,"6/22/2016","june","late","M",32.1,"45.3","1550",125,NA,"0.075",NA,18.009,23.53297036,16.68092387,52.40621448,1.552286282,306.8181818
"C33","148","148NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,26.8,"35.5","820",151,1.388,"0.716",2.793,48.958,6.47307925,20.31650984,22.35695339,0.941550696,306.8181818
"C32","150","150NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,26,"36.3","730",151,2.295,"0.513",1.638,107.363,10.40532365,7.912745937,22.81167109,1.399602386,306.8181818
"C30","114","114NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late","NRF",26.4,"36","545",128,0.965,"1.265",2.493,13.478,17.66485178,20.53036784,63.31943918,3.308151093,318.1818182
"C29","149","149NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,28,"39.5","1040",141,1,"0.749",0.853,58.168,8.590441621,41.91616766,28.26828344,2.48111332,318.1818182
"C28","156","156NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late","NRF",26.4,"39.4","680",155,0.352,"0.591",1.915,6.478,17.05989111,18.39178785,22.39484653,1.654075547,318.1818182
"C27","155","155NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,27.4,"22/26.2","740",169,0.866,"0.456",2.603,51.885,15.0030248,19.67493584,23.38006821,0.941550696,315.9090909
"C26","152","152NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,31.1,"42.3","1070",146,1.066,"0.509",0.189,42.472,18.87477314,6.20188195,25.91890868,1.183300199,318.1818182
"C24","151","151NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,25.5,"27.7/32.2","790",131,0.965,"0.377",0.049,46.46,3.629764065,14.97005988,21.22015915,4.924055666,320.4545455
"C23","154","154NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,27,"14","720",154,1.104,"0.725",1.431,53.295,10.22383545,17.75021386,20.00757863,3.740755467,309.0909091
"C22","42","42NC","sample","figginsi","NC","M","no","non-visited",2016,"6/22/2016","june","late","M",34,"44.6","1870",98,NA,"0.078",NA,2.893,25.16636419,55.38922156,79.53770368,7.799602386,318.1818182
"C21","161","161NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,27.6,"16.1/17.0","800",129,0.969,"0.686",1.205,64.749,7.562008469,31.65098375,37.05949223,2.493836978,313.6363636
"C209","55/0A","55/0AUC","sample","inornata","UC","F","moderate","visited",2016,"9/10/2016","september","post","Post",24.7,"34.7","640",136,1.07,"2.338",NA,14.812,3.305785124,34.94505495,55.19634127,2.773550356,300
"C207","54/0A","54/0AUC","sample","inornata","UC","M","moderate","visited",2016,"9/10/2016","september","post","M",23.6,"16.1+4.8","510",154,NA,"0.757",NA,37.569,11.90082645,19.78021978,34.73426904,3.372533062,245.3070175
"C206","7/0C","7/0CUC","sample","inornata","UC","F","moderate","visited",2016,"9/10/2016","september","post","Post",28,"36.1","890",130,0.082,"1.103",NA,20.414,5.454545455,12.96703297,35.28623246,10.40406918,303.5885167
"C205","65/0A2","65/0A2UC","sample","inornata","UC","F","moderate","visited",2016,"9/10/2016","september","post","Post",26.1,"35","700",143,0.696,"",NA,30.429,0,18.46153846,73.52941176,7.565412004,297.1291866
"C204","11/0B","11/0BUC","sample","inornata","UC","F","moderate","visited",2016,"9/10/2016","september","post","Post",31.4,"40","1075",146,0.081,"0.079",NA,52.644,4.132231405,10.76923077,14.58760448,3.229298067,297.4930362
"C203","75/0A","75/0AUC","sample","inornata","UC","F","moderate","visited",2016,"9/10/2016","september","post","Post",19.1,"27.5","330",104,0.886,"",NA,11.167,7.933884298,8.351648352,23.22188929,5.442929807,NA
"C202","34C","34CUC","sample","inornata","UC","F","moderate","visited",2016,"9/10/2016","september","post","Post",22.1,"31.5","470",142,0.455,"0.291",NA,34.161,2.314049587,12.08791209,21.72370289,2.591251272,304.178273
"C201","73D","73DUC","sample","inornata","UC","M","moderate","visited",2016,"9/10/2016","september","post","M",20.1,"29.7","360",122,NA,"0.683",NA,63.301,0,3.516483516,30.23970982,4.817904374,313.1578947
"C200","23C","23CUC","sample","inornata","UC","M","moderate","visited",2016,"9/10/2016","september","post","M",21.6,"29.1","410",124,NA,"0.339",NA,39.262,0,8.571428571,12.81343637,4.310071211,334.7807018
"C20","158","158NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,26.5,"27/28.1","915",144,1.322,"",NA,57.371,19.47973382,38.0667237,30.04926108,6.069184891,318.1818182
"C199","19A","19AUC","sample","inornata","UC","F","moderate","visited",2016,"9/10/2016","september","post","Post",30,"37.2","1060",115,0.663,"1.138",0.842,32.591,7.603305785,5.494505495,16.00693897,4.856968464,303.3426184
"C198","178B","178BUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",38,"42","2160",122,NA,"4.2",NA,26.297,11.57024793,27.47252747,16.99258792,3.56785351,350.4385965
"C197","44C","44CUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",32.3,"40.4","1185",132,NA,"1.449",NA,28.134,0.330578512,9.010989011,29.64832045,2.239674466,344.4736842
"C196","6/0C","6/0CUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",24,"33","485",156,0.904,"1.741",1.06,38.22,4.628099174,13.40659341,66.51159123,2.057375381,298.3286908
"C195","37C","37CUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",21,"18.4+2.2","375",172,NA,"3.191",NA,29.36,0,9.010989011,22.35451821,1.901119023,344.4736842
"C194","189B","189BUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",28.8,"38.1","960",139,0.083,"1.849",0.905,29.552,0,7.252747253,38.20375335,2.812614446,305.0139276
"C193","47C","47CUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",36,"44.4","1810",153,NA,"3.29",NA,22.001,4.628099174,24.3956044,68.08862955,5.351780264,336.2719298
"C192","3C","3CUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",28.7,"36.3","795",133,0.082,"1.788",0.83,30.732,2.148760331,4.395604396,37.49408611,1.64069176,303.3426184
"C191","2/0C","2/0CUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",27.4,"38","815",138,NA,"0.343",NA,25.218,3.801652893,5.934065934,36.19302949,1.770905392,NA
"C190","81C","81CUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",34.5,"42.2","1470",127,NA,"0.619",NA,26.268,14.21487603,7.692307692,50.50465226,2.317802645,NA
"C19","159","159NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late",NA,24.2,"32.8","550",151,0.991,"0.694",0.836,60.762,13.67211131,17.32249786,22.20538083,1.412326044,322.7272727
"C189","43/0A","43/0AUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",35,"26.0+8.7","1685",129,NA,"6.341",NA,23.674,1.32231405,4.615384615,34.57656521,2.474059003,343.7280702
"C188","15C","15CUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",29,"34.7","900",133,0.078,"2.125",1.015,34.615,11.23966942,11.20879121,31.42248857,2.773550356,308.4
"C187","191B","191BUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",29.3,"37.2","925",123,0.085,"1.589",1.134,24.1,7.107438017,9.230769231,50.78063397,3.854323499,307.2
"C186","165B","165BUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",37.2,"43.6","2215",114,NA,"11.143",NA,24.928,10.5785124,16.04395604,47.66598328,1.862054934,354.9122807
"C185","10/0C","10/0CUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",29.2,"24.7+4.0","900",114,0.082,"1.117",0.609,30.125,8.961845608,10.54945055,31.1070809,-0.117192269,308.4
"C184","102A","102AUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",35,"39.2","1420",118,0.704,"1.508",0.787,32.175,4.170363798,15.16483516,44.35420281,3.476703967,307.2
"C183","61/0B","61/0BUC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",23,"31.9","445",133,NA,"0.487",NA,33.476,7.187222715,9.230769231,25.54802082,2.487080366,348.9473684
"C182","151B","151BUC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",31.5,"40.1","1220",120,0.815,"0.563",0.348,NA,8.074534161,14.94505495,46.68033433,5.078331638,303.6
"C181","142","142UC","sample","inornata","UC","F","moderate","visited",2016,"9/9/2016","september","post","Post",36.4,"40.4","1205",135,0.393,"1.008",0.767,30.125,7.009760426,10.10989011,19.39757136,4.401220753,307.2
"C180","102/6","102/6UC","sample","inornata","UC","M","moderate","visited",2016,"9/9/2016","september","post","M",30.5,"38.1","925",113,NA,"0.65",NA,16.194,7.009760426,29.45054945,36.66614099,5.360572012,340
"C18","160","160NC","sample","figginsi","NC","F","no","non-visited",2016,"6/22/2016","june","late","NRF",27.5,"37.6","730",142,0.956,"0.184",1.117,50.032,16.75741077,8.982035928,20.91701402,0.45805169,320.4545455
"C179","98/0","98/0ALC","sample","inornata","ALC","M","high","visited",2016,"9/9/2016","september","post","M",27,"36.7","725",124,NA,"0.673",NA,23.044,0,9.523809524,46.16855053,7.073340143,333.2894737
"C178","35/9","35/9ALC","sample","inornata","ALC","M","high","visited",2016,"9/9/2016","september","post","M",33.7,"43.1","1340",235,NA,"9.048",NA,7.414,13.39840284,25,94.78889628,4.406128703,333.2894737
"C176","30/70A","30/70AALC","sample","inornata","ALC","M","high","visited",2016,"9/9/2016","september","post","M",23.4,"31.9","470",134,NA,"1.861",NA,1.917,3.992901508,6.666666667,17.20412234,0.836772217,330.3070175
"C175","65/0","65/0ALC","sample","inornata","ALC","F","high","visited",2016,"9/9/2016","september","post","Post",28.7,"20","665",145,0.591,"1.709",0.545,1.457,7.187222715,30,27.5099734,1.582022472,306
"C174","31/9","31/9ALC","sample","inornata","ALC","F","high","visited",2016,"9/9/2016","september","post","Post",28.5,"36.9","645",118,0.264,"1.194",0.258,1.23,5.057675244,12.14285714,12.75764628,0.967517875,304.8
"C173","75/7B","75/7BALC","sample","inornata","ALC","M","high","visited",2016,"9/9/2016","september","post","M",33.1,"36.4*","1225",141,NA,"3.072",NA,1.356,9.849157054,23.0952381,52.9005984,2.967926456,271.6535433
"C172","152/B","152/BALC","sample","inornata","ALC","F","high","visited",2016,"9/9/2016","september","post","Post",31,"38.1","1010",124,0.47,"2.04",0.654,0.994,2.395740905,14.52380952,9.848736702,1.137487232,312
"C171","88/0","88/0ALC","sample","inornata","ALC","M","high","visited",2016,"9/9/2016","september","post","M",33.1,"39.5","1435",142,NA,"4.215",NA,1.108,3.105590062,30.71428571,47.99700798,2.51031665,294.488189
"C170","24/6B","24/6BALC","sample","inornata","ALC","F","high","visited",2016,"9/9/2016","september","post","Post",28.2,"37.1","745",145,0.921,"2.36",0.811,82.555,10.02661934,11.19047619,35.03158245,2.784882533,306
"C169","216","216NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",29.2,"22.5/29.5","1140",139,NA,"10.448",NA,10.588,9.352517986,NA,NA,2.676489707,302.5069638
"C168","138","138NC","sample","figginsi","NC","F","no","non-visited",2016,"9/7/2016","september","post","Post",25.4,"25.8","605",147,0.415,"0.394",0.806,12.683,12.07034373,7.071024513,50.5622788,0.748862405,302.15311
"C167","140","140NC","sample","figginsi","NC","F","no","non-visited",2016,"9/7/2016","september","post","Post",31.6,"45.2","1090",112,0.053,"0.52",1.094,2.543,15.26778577,1.885606537,20.29341249,1.511592633,300.7177033
"C166","224","224NC","sample","figginsi","NC","F","no","non-visited",2016,"9/7/2016","september","post","Post",26.3,"34.6","730",133,1.546,"0.853",1.335,1.326,8.073541167,10.60653677,35.36362598,1.220368364,302.8708134
"C165","225","225NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",32,"44.3","1565",128,NA,"6.206",NA,17.847,13.98880895,13.67064739,53.68763557,0.553165829,302.4
"C163","222","222NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",33.5,"42.2","1620",118,NA,"18.518",NA,3.421,14.30855316,12.49214331,75.5223199,0.784723618,306
"C162","212","212NC","sample","figginsi","NC","F","no","non-visited",2016,"9/7/2016","september","post","Post",28.1,"38.2","815",143,1.182,"",NA,11.758,26.77857714,44.54745443,57.58362827,10.40723618,NA
"C161","215","215NC","sample","figginsi","NC","F","no","non-visited",2016,"9/7/2016","september","post","Post",28.2,"39.9","725",122,0.287,"0.446",0.453,9.816,21.98241407,3.535512256,29.36979107,2.058291457,301.4354067
"C160","217","217NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",34.5,"46.1","1880",120,NA,"1.508",NA,0.86,7.274180655,8.720930233,48.29318415,1.955376884,306
"C158","223","223NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",33.4,"40.5","1550",129,NA,"6.312",NA,3.618,3.277378098,7.071024513,45.63877155,1.312160804,306
"C157","219","219NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",26.9,"40.2","955",121,NA,"6.235",NA,9.35,4.876099121,31.95541761,39.754014,1.234974874,308.4
"C156","213","213NC","sample","figginsi","NC","F","no","non-visited",2016,"9/7/2016","september","post","Post",27.4,"36.2","730",108,0.448,"0.798",1.099,3.599,1.518784972,7.195259594,38.90489914,1.402211055,300
"C155","220","220NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",31,"30.1/34.6","1440",113,NA,"8.378",NA,1.101,11.11111111,13.96726862,59.631021,1.788140704,306
"C154","218","218NC","sample","figginsi","NC","M","no","non-visited",2016,"9/7/2016","september","post","M",28,"41.3","920",83,NA,"0.65",NA,0.919,39.88808953,137.979684,39.59962948,27.37527638,NA
"C153","221","221NC","sample","figginsi","NC","F","no","non-visited",2016,"9/7/2016","september","post","Post",26,"33.6","860",127,0.766,"0.541",1.335,2.169,12.54996003,17.14164786,82.5957184,1.891055276,294.2583732
"C152","135","135NC","sample","figginsi","NC","F","no","non-visited",2016,"9/6/2016","september","post","Post",26.8,"38.3","835",128,0.407,"0.395",0.449,16.911,9.992006395,16.29514673,27.0558872,3.20321608,302.15311
"C151","210","210NC","sample","figginsi","NC","M","no","non-visited",2016,"9/6/2016","september","post","M",32.5,"21.8","1305",153,NA,"5.792",NA,9.013,13.02957634,22.85553047,13.97179909,0.141507538,297.6
"C150","207","207NC","sample","figginsi","NC","M","no","non-visited",2016,"9/6/2016","september","post","M",27.7,"19.5/23.8","985",146,NA,"5.421",NA,7.526,7.59392486,21.16252822,67.31165089,3.010251256,302.4
"C149","208","208NC","sample","figginsi","NC","M","no","non-visited",2016,"9/6/2016","september","post","M",21.1,"31.6","435",149,NA,"0.977",NA,2.914,11.91047162,30.26241535,35.00669,4.502512563,291.6
